Id,highlighted,text,ru_trans,tags,prefix,suffix,position_start,position_end,start_container,end_container,chapter,ch_num,lang,overlap,img_src,alt_text_eng
GjYkovTDEe2Xud-SwHJ1uw,12,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's skaz on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80).",,['structure'],"     
      

      
        
  ",". Заитильщина
  
  Содвинулись в",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],12. Заитильщина,12,ru,none,[],[]
ZmzSBgGBEe6qJAslj70i_Q,18,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Sergei Orobii suggests that ""in the novel *Between Dog and Wolf*, the principle that will become the cornerstone for determining the root affiliation of Sokolov's texts of the 2000s is mastered: prose is replaced with ease by poetry, or even merges with it. Such a narrative maneuver, of course, originates not in the plot, but in the field of language: considering that the Russian literary language has 'worn out' from constant use and has lost all expressiveness, the writer tries to get away from the usual linguistic norms and constructs a unique style, which becomes the driving force of the narrative. Here, the boundaries between replicas, between direct and indirect speech, between chatter and quotation are fundamentally blurred"" (299).",,['structure'],"     
      

      
        
  ",". Записка, посланная отдельной б",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],"18. Записка, посланная отдельной бутылкой",18,ru,none,[],[]
SNm_bNkvEe2eW0dO4tLtTQ,07,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Sergei Orobii suggests that ""in the novel *Between Dog and Wolf*, the principle that will become the cornerstone for determining the root affiliation of Sokolov's texts of the 2000s is mastered: prose is replaced with ease by poetry, or even merges with it. Such a narrative maneuver, of course, originates not in the plot, but in the field of language: considering that the Russian literary language has 'worn out' from constant use and has lost all expressiveness, the writer tries to get away from the usual linguistic norms and constructs a unique style, which becomes the driving force of the narrative. Here, the boundaries between replicas, between direct and indirect speech, between chatter and quotation are fundamentally blurred"" (299).",,['structure'],"     
      

      
        
  ",". Записки охотника
  
  Записка ",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],07. Записки охотника,07,ru,none,[],[]
2-CPhNIxEe2emF--XiwuBQ,06,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's skaz on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (The Prose 80).",,['structure'],"     
      

      
        
  ",". От Ильи Петрикеича
  
  Чем во",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],06. От Ильи Петрикеича,06,ru,none,[],[]
RtvcgPM0Ee2z3yvf8-BQfA,10,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's *skaz* on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80).",,['structure'],"     
      

      
        
  ",". Дзынзырэлы
  
  Мол, все время",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],10. Дзынзырэлы,10,ru,none,[],[]
0y-hfPNbEe2YOru6zcjrFQ,11,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Sergei Orobii suggests that ""in the novel *Between Dog and Wolf*, the principle that will become the cornerstone for determining the root affiliation of Sokolov's texts of the 2000s is mastered: prose is replaced with ease by poetry, or even merges with it. Such a narrative maneuver, of course, originates not in the plot, but in the field of language: considering that the Russian literary language has 'worn out' from constant use and has lost all expressiveness, the writer tries to get away from the usual linguistic norms and constructs a unique style, which becomes the driving force of the narrative. Here, the boundaries between replicas, between direct and indirect speech, between chatter and quotation are fundamentally blurred"" (299).",,['structure'],"     
      

      
        
  ",". Опять записки
  
  Записка XIX",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],11. Опять записки,11,ru,none,[],[]
YyczWNIyEe2Nadvau0vyIg,05,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).",,['structure'],"     
      

      
        
  ",". Ловчая повесть, или картинки с",618,620,/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],"05. Ловчая повесть, или картинки с выставки",05,ru,full,[],[]
qGaHvq4hEe24_OMbyfhouA,"05. Ловчая повесть, или картинки с выставки","The end of chapter 2 and chapter 5 were some of the earliest pieces of *Between Dog and Wolf* written. D. Barton Johnson reports: ""This initial focus on Iakov, rather than Illia, emerges from the fragment of *Mezhdu sobakoi i volkom* that Sokolov sent to Carl Professor for the first number of Ardis' new serial miscellany *Glagol* (1977). [...] Much of this material, deleted in the final version, sets forth the book's central theme of indeterminacy much more explicitly than anything in the final variant. The *Glagol* excerpt was abstruse and Proffer's response was 'almost complete incomprehension' (letter to Sokolov of August 26, 1976). [...] In his reply of August 15, 1976, Sokolov suggested that Carl Proffer's doubts echoed his own. The material had been written under difficult psychological circumstances. He had wanted to parody various styles, but felt he had not succeeded. He now proposed that the fragment be published in *Glagol* but with the idea that it would remain suspended [...] The excerpt's opening and closing passages with their descriptions of Iakov and the excursus on his name/identity were deleted"" (""Background Notes"" 337–338).",,['explanatory'],"     
      

      
        
  ","
  
  Яков Ильич Паламахтеров (в",618,661,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],"05. Ловчая повесть, или картинки с выставки",05,ru,partial,[],[]
hx9z8ranEe22Fodg4Pjjkw,09,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's skaz on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80). She describes the structure of the novel as follows: ""The structure of the novel, excluding chapter eighteen [...], forms a set of convex mirrors. The first and last chapters are *skaz*, the second and penultimate are prose, the third and the fifteenth chapters are poems, then again two mirroring Il'ia's narratives (4 and 14), the prose narratives (5 and 13), Il'ia's (6 and 12), verse (7 and 11), and Il'ia's (8 and 10). The structure 'folds' in the middle, at chapter nine — a prose entry, thus making it a 'centrefold', which holds the book together"" (*The Prose* 53–54).",,['structure'],"     
      

      
        
  ",". Картинки с выставки
  
  Друг ",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],09. Картинки с выставки,09,ru,none,[],[]
zrxePNIxEe25ZRucunLjZw,04,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's skaz on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (The Prose 80).",,['structure'],"     
      

      
        
  ",". Заитильщина Дзындзырэлы
  
  Э",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],04. Заитильщина Дзындзырэлы,04,ru,none,[],[]
VzmSKPcZEe2wCA-sc9KCHg,13,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).",,['structure'],"     
      

      
        
  ",". Картинки с выставки
  
  Измор",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],13. Картинки с выставки,13,ru,none,[],[]
_p1VbOQKEe2e6D8B4hKnLQ,08,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's *skaz* on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80).",,['structure'],"     
      

      
        
  ",". Заитильщина
  
  Зачерпнул я, ",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],08. Заитильщина,08,ru,none,[],[]
8dqphP5TEe2TFYcfqU3UtA,14,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's *skaz* on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80).",,['structure'],"     
      

      
        
  ",". От Ильи Петрикеича
  
  Клеши,",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],14. От Ильи Петрикеича,14,ru,none,[],[]
rgalqgE3Ee6r0VMIAhoU2A,15,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Sergei Orobii suggests that ""in the novel *Between Dog and Wolf*, the principle that will become the cornerstone for determining the root affiliation of Sokolov's texts of the 2000s is mastered: prose is replaced with ease by poetry, or even merges with it. Such a narrative maneuver, of course, originates not in the plot, but in the field of language: considering that the Russian literary language has 'worn out' from constant use and has lost all expressiveness, the writer tries to get away from the usual linguistic norms and constructs a unique style, which becomes the driving force of the narrative. Here, the boundaries between replicas, between direct and indirect speech, between chatter and quotation are fundamentally blurred"" (299).",,['structure'],"     
      

      
        
  ",". Журнал запойного
  
  Записка ",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],15. Журнал запойного,15,ru,none,[],[]
MVDGWtIyEe25hoeZ5TaY3A,03,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Sergei Orobii suggests that ""in the novel *Between Dog and Wolf*, the principle that will become the cornerstone for determining the root affiliation of Sokolov's texts of the 2000s is mastered: prose is replaced with ease by poetry, or even merges with it. Such a narrative maneuver, of course, originates not in the plot, but in the field of language: considering that the Russian literary language has 'worn out' from constant use and has lost all expressiveness, the writer tries to get away from the usual linguistic norms and constructs a unique style, which becomes the driving force of the narrative. Here, the boundaries between replicas, between direct and indirect speech, between chatter and quotation are fundamentally blurred"" (299).",,['structure'],"     
      

      
        
  ",". Записки запойного охотника
  
",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],03. Записки запойного охотника,03,ru,none,[],[]
FM2ORtIyEe27vNcZR1adrw,02,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).",,['structure'],"     
      

      
        
  ",". Ловчая повесть
  
  Жить; знат",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],02. Ловчая повесть,02,ru,none,[],[]
